win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
B,opponent hits the net,net shot,hits the net,0,1
A,opponent fails to clear the net,return net,fails to clear the net,1,1
A,opponent goes out of bounds,lob,goes out of bounds,2,1
A,opponent goes out of bounds,drop,goes out of bounds,3,1
A,opponent fails to clear the net,return net,fails to clear the net,4,1
A,wins by landing,clear,opponent wins by landing,5,1
A,opponent goes out of bounds,wrist smash,goes out of bounds,6,1
A,wins by landing,drop,opponent wins by landing,7,1
A,opponent goes out of bounds,lob,goes out of bounds,8,1
B,opponent hits the net,drive,hits the net,8,2
A,opponent hits the net,push,hits the net,9,2
A,opponent goes out of bounds,push,goes out of bounds,10,2
A,wins by landing,rush,opponent wins by landing,11,2
B,opponent goes out of bounds,clear,goes out of bounds,11,3
A,opponent goes out of bounds,long service,goes out of bounds,12,3
B,opponent fails to clear the net,net shot,fails to clear the net,12,4
A,opponent goes out of bounds,lob,goes out of bounds,13,4
B,opponent fails to clear the net,cross-court net shot,fails to clear the net,13,5
A,wins by landing,smash,opponent wins by landing,14,5
B,opponent fails to clear the net,net shot,fails to clear the net,14,6
A,opponent hits the net,return net,hits the net,15,6
A,opponent goes out of bounds,push,goes out of bounds,16,6
A,opponent goes out of bounds,clear,goes out of bounds,17,6
A,opponent goes out of bounds,cross-court net shot,goes out of bounds,18,6
A,opponent fails to clear the net,clear,fails to clear the net,19,6
A,opponent goes out of bounds,clear,goes out of bounds,20,6
A,opponent hits the net,return net,hits the net,21,6
