TOYOTA THAILAND OPEN 2021 SemiFinals: Carolina Marin v.s. An Se Young

Set 1:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Carolina Marin,opponent hits the net,smash,hits the net,1,0
An Se Young,opponent fails to clear the net,return net,fails to clear the net,1,1
Carolina Marin,opponent landing judgment error,clear,landing judgment error,2,1
An Se Young,opponent goes out of bounds,lob,goes out of bounds,2,2
Carolina Marin,wins by landing,clear,opponent wins by landing,3,2
Carolina Marin,wins by landing,wrist smash,opponent wins by landing,4,2
Carolina Marin,wins by landing,push,opponent wins by landing,5,2
An Se Young,opponent goes out of bounds,lob,goes out of bounds,5,3
An Se Young,wins by landing,smash,opponent wins by landing,5,4
An Se Young,opponent hits the net,net shot,hits the net,5,5
An Se Young,opponent goes out of bounds,wrist smash,goes out of bounds,5,6
Carolina Marin,wins by landing,net shot,opponent wins by landing,6,6
Carolina Marin,opponent goes out of bounds,clear,goes out of bounds,7,6
Carolina Marin,wins by landing,push,opponent wins by landing,8,6
An Se Young,wins by landing,smash,opponent wins by landing,8,7
Carolina Marin,opponent goes out of bounds,lob,goes out of bounds,9,7
An Se Young,opponent goes out of bounds,clear,goes out of bounds,9,8
Carolina Marin,opponent goes out of bounds,wrist smash,goes out of bounds,10,8
Carolina Marin,opponent goes out of bounds,lob,goes out of bounds,11,8
An Se Young,opponent hits the net,net shot,hits the net,11,9
Carolina Marin,wins by landing,net shot,opponent wins by landing,12,9
Carolina Marin,opponent goes out of bounds,clear,goes out of bounds,13,9
An Se Young,wins by landing,defensive return lob,opponent wins by landing,13,10
An Se Young,wins by landing,rush,opponent wins by landing,13,11
Carolina Marin,wins by landing,net shot,opponent wins by landing,14,11
An Se Young,opponent hits the net,net shot,hits the net,14,12
Carolina Marin,opponent hits the net,net shot,hits the net,15,12
An Se Young,opponent goes out of bounds,push,goes out of bounds,15,13
Carolina Marin,opponent goes out of bounds,return net,goes out of bounds,16,13
An Se Young,opponent landing judgment error,lob,landing judgment error,16,14
Carolina Marin,wins by landing,net shot,opponent wins by landing,17,14
An Se Young,opponent goes out of bounds,defensive return drive,goes out of bounds,17,15
Carolina Marin,opponent goes out of bounds,clear,goes out of bounds,18,15
An Se Young,opponent hits the net,return net,hits the net,18,16
An Se Young,opponent hits the net,smash,hits the net,18,17
Carolina Marin,opponent hits the net,wrist smash,hits the net,19,17
An Se Young,opponent goes out of bounds,passive drop,goes out of bounds,19,18
An Se Young,opponent goes out of bounds,clear,goes out of bounds,19,19
Carolina Marin,opponent goes out of bounds,drop,goes out of bounds,20,19
Carolina Marin,wins by landing,rush,opponent wins by landing,21,19


Set 2:
win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
Carolina Marin,opponent hits the net,net shot,hits the net,1,0
An Se Young,opponent goes out of bounds,clear,goes out of bounds,1,1
An Se Young,opponent hits the net,smash,hits the net,1,2
An Se Young,opponent goes out of bounds,lob,goes out of bounds,1,3
An Se Young,opponent hits the net,rush,hits the net,1,4
Carolina Marin,wins by landing,smash,opponent wins by landing,2,4
Carolina Marin,opponent fails to clear the net,net shot,fails to clear the net,3,4
Carolina Marin,wins by landing,smash,opponent wins by landing,4,4
An Se Young,wins by landing,rush,opponent wins by landing,4,5
Carolina Marin,opponent goes out of bounds,return net,goes out of bounds,5,5
Carolina Marin,opponent hits the net,net shot,hits the net,6,5
Carolina Marin,wins by landing,net shot,opponent wins by landing,7,5
An Se Young,opponent hits the net,net shot,hits the net,7,6
Carolina Marin,opponent goes out of bounds,rush,goes out of bounds,8,6
Carolina Marin,opponent hits the net,return net,hits the net,9,6
Carolina Marin,opponent hits the net,net shot,hits the net,10,6
An Se Young,opponent landing judgment error,lob,landing judgment error,10,7
Carolina Marin,opponent goes out of bounds,clear,goes out of bounds,11,7
Carolina Marin,opponent fails to clear the net,return net,fails to clear the net,12,7
Carolina Marin,opponent fails to clear the net,net shot,fails to clear the net,13,7
Carolina Marin,wins by landing,push,opponent wins by landing,14,7
Carolina Marin,wins by landing,net shot,opponent wins by landing,15,7
An Se Young,opponent hits the net,drop,hits the net,15,8
An Se Young,opponent hits the net,smash,hits the net,15,9
An Se Young,opponent hits the net,net shot,hits the net,15,10
Carolina Marin,wins by landing,smash,opponent wins by landing,16,10
An Se Young,opponent goes out of bounds,lob,goes out of bounds,16,11
An Se Young,wins by landing,smash,opponent wins by landing,16,12
An Se Young,opponent hits the net,net shot,hits the net,16,13
Carolina Marin,opponent hits the net,net shot,hits the net,17,13
Carolina Marin,opponent hits the net,net shot,hits the net,18,13
An Se Young,opponent hits the net,smash,hits the net,18,14
An Se Young,wins by landing,smash,opponent wins by landing,18,15
Carolina Marin,wins by landing,push,opponent wins by landing,19,15
Carolina Marin,opponent fails to clear the net,drop,fails to clear the net,20,15
Carolina Marin,wins by landing,rush,opponent wins by landing,21,15
